OBJECTID,TRACT_FIPS,ASTHMA_ADJRATE,ASTHMA_L95CI,ASTHMA_U95CI,ASTHMA_STATEADJRATE,ASTHMA_SL95CI,ASTHMA_SU95CI,TRACT_NAME,COUNTY_NAME,ASTHMA_DISPLAY
901,08031003601,1045.27,882.64,1207.9,630.47,627.45,633.48,"Census Tract 36.01, Denver County, Colorado",DENVER,Higher Than State Average
902,08031002702,535.57,391.52,679.62,630.47,627.45,633.48,"Census Tract 27.02, Denver County, Colorado",DENVER,Not Different Than State Average
903,08031002701,831.45,518.62,1144.28,630.47,627.45,633.48,"Census Tract 27.01, Denver County, Colorado",DENVER,Not Different Than State Average
904,08031002601,1202.7,972.84,1432.57,630.47,627.45,633.48,"Census Tract 26.01, Denver County, Colorado",DENVER,Higher Than State Average
905,08031002403,1902.13,1627.73,2176.52,630.47,627.45,633.48,"Census Tract 24.03, Denver County, Colorado",DENVER,Higher Than State Average
906,08031002000,485.1,336.68,633.51,630.47,627.45,633.48,"Census Tract 20, Denver County, Colorado",DENVER,Not Different Than State Average
907,08031001800,625.81,489.31,762.3,630.47,627.45,633.48,"Census Tract 18, Denver County, Colorado",DENVER,Not Different Than State Average
908,08031001701,499.35,393.1,605.61,630.47,627.45,633.48,"Census Tract 17.01, Denver County, Colorado",DENVER,Lower Than State Average
909,08031001600,1520.61,1290.45,1750.76,630.47,627.45,633.48,"Census Tract 16, Denver County, Colorado",DENVER,Higher Than State Average
910,08031008306,1034.4,910.28,1158.51,630.47,627.45,633.48,"Census Tract 83.06, Denver County, Colorado",DENVER,Higher Than State Average
911,08031001500,1225.1,1040.13,1410.07,630.47,627.45,633.48,"Census Tract 15, Denver County, Colorado",DENVER,Higher Than State Average
912,08031001101,990.6,804.44,1176.77,630.47,627.45,633.48,"Census Tract 11.01, Denver County, Colorado",DENVER,Higher Than State Average
913,08031000402,758.19,613.81,902.57,630.47,627.45,633.48,"Census Tract 4.02, Denver County, Colorado",DENVER,Not Different Than State Average
914,08031000401,877.98,714.83,1041.12,630.47,627.45,633.48,"Census Tract 4.01, Denver County, Colorado",DENVER,Higher Than State Average
915,08031000800,2019.8,1595.42,2444.17,630.47,627.45,633.48,"Census Tract 8, Denver County, Colorado",DENVER,Higher Than State Average
